feature,impurity_importance,permutation_importance_mean,permutation_importance_std,impurity_rank,permutation_rank,average_rank,importance_direction
concave_points_worst,0.08410714498312102,0.0008337297183023673,0.0002088672561267644,2.0,1.0,1.5,positive_or_neutral
concave_points_mean,0.07995735383032856,0.0006011838697743243,0.00016000625356068457,5.0,3.0,4.0,positive_or_neutral
radius_worst,0.08526898770530547,0.0003435336398710631,0.00028034877856799093,1.0,8.0,4.5,positive_or_neutral
area_worst,0.08021190008732086,0.00040034881877278885,0.0002927201535508119,4.0,7.0,5.5,positive_or_neutral
concavity_mean,0.06307290569924061,0.0005192643094973804,0.00012563312356130073,6.0,6.0,6.0,positive_or_neutral
perimeter_worst,0.08086081781739868,0.0002642566460546392,0.00025463428161327437,3.0,9.0,6.0,positive_or_neutral
concavity_worst,0.055294295641154345,0.0005562602399450612,0.00017038407058833622,8.0,5.0,6.5,positive_or_neutral
area_worst_to_mean,0.03951219748582973,0.0007095290946567357,0.0002698169059014997,13.0,2.0,7.5,positive_or_neutral
radius_worst_to_mean,0.039472143105542694,0.0005972200200835221,0.0002641112649084798,14.0,4.0,9.0,positive_or_neutral
area_se,0.04059277649680398,0.00022726071560701387,0.00014005602240896328,12.0,12.0,12.0,positive_or_neutral
area_radius_ratio_mean,0.05251507428705525,9.513239257966655e-05,0.00013980650141548714,9.0,17.0,13.0,positive_or_neutral
perimeter_mean,0.056044211180691014,1.4534115532993664e-05,0.00011326873405287816,7.0,19.0,13.0,positive_or_neutral
compactness_concavity_interaction,0.034737846477532655,0.00020876275038316238,6.601128902695587e-05,15.0,14.0,14.5,positive_or_neutral
area_mean,0.04436221806205047,4.624491305958989e-05,0.00010640227485486214,11.0,18.0,14.5,positive_or_neutral
radius_se,0.01714599541791373,0.0002536863802124478,7.812348976845553e-05,20.0,10.0,15.0,positive_or_neutral
perimeter_se,0.02103539453516875,0.00022990328206754507,6.870672797419929e-05,19.0,11.0,15.0,positive_or_neutral
radius_mean,0.04556514317539878,1.1891549072440277e-05,0.00010790120175057925,10.0,20.0,15.0,positive_or_neutral
compactness_mean,0.022500452575007244,0.0002272607156070028,7.677099015029738e-05,18.0,13.0,15.5,positive_or_neutral
radius_perimeter_ratio_mean,0.032998952798963435,0.00019290735161988647,5.67383081062967e-05,16.0,15.0,15.5,positive_or_neutral
compactness_worst,0.024744188638172834,0.000171766819935526,0.00010619698376094971,17.0,16.0,16.5,positive_or_neutral
