feature,mean_abs_shap,mean_shap
perimeter_worst,0.04321177859848213,0.006242746507457341
radius_worst,0.040798949100410986,0.00628735751205192
area_worst,0.039205636571391436,0.005780457578615067
concave_points_worst,0.03813116808104201,0.006479439684314652
concave_points_mean,0.028957736804210182,0.005871510565886993
area_worst_to_mean,0.02570689533306052,0.001479383093718983
radius_worst_to_mean,0.024600595757445824,0.0014336713423373098
area_radius_ratio_mean,0.019877035313558174,0.002569065815116952
concavity_worst,0.01971957228035389,0.0030167576512385988
perimeter_mean,0.018272559914149323,0.0030188356222540648
area_se,0.01796108564236398,0.0025825569305304536
area_mean,0.01769400569491616,0.0023274828869711316
radius_mean,0.01672794088046852,0.002354275818826557
concavity_mean,0.01514017817466864,0.0027212417052755724
compactness_worst,0.010802183499602044,0.0009387502796977726
radius_se,0.008999675546884914,0.0005183405697072403
compactness_concavity_interaction,0.008812084893518818,0.0012088816210585637
radius_perimeter_ratio_mean,0.008432499215330081,0.0012541695088783542
perimeter_se,0.006018587808663043,1.4333487249195787e-05
compactness_mean,0.0043352567744312995,0.0014216429285429735
