feature,impurity_importance,permutation_importance_mean,permutation_importance_std,importance_percent,impurity_rank,permutation_rank,average_rank,importance_direction
Glucose_Age,0.15561603439212918,0.011990131578947428,0.008761663057069892,21.4917,1.0,1.0,1.0,positive_or_neutral
Glucose_BMI,0.11114346442946277,0.008141447368421085,0.008656301720147102,14.5932,4.0,3.0,3.5,positive_or_neutral
BMI_Age,0.11214670439551253,0.0074506578947369,0.005038669502621522,13.355,3.0,4.0,3.5,positive_or_neutral
BMI,0.07027534797828239,0.008963815789473728,0.0033592516928023525,16.0672,7.0,2.0,4.5,positive_or_neutral
Glucose,0.11555543700580759,0.0026973684210527147,0.007959982582561437,4.8349,2.0,7.0,4.5,positive_or_neutral
Age,0.09611889857901214,0.006858552631578996,0.004011640944966235,12.2936,5.0,5.0,5.0,positive_or_neutral
Obese,0.09005266965240091,0.004128289473684271,0.007536036319162742,7.3998,6.0,6.0,6.0,positive_or_neutral
Metabolic_Load,0.03985419575508727,0.001875000000000049,0.005630768049095499,3.3608,10.0,8.0,9.0,positive_or_neutral
Glucose_Insulin_Product,0.03191312661352994,0.0018421052631579394,0.004965253227398206,3.3019,12.0,9.0,10.5,positive_or_neutral
SkinThickness,0.03538254424155411,0.0008881578947368852,0.0021822379329765646,1.592,11.0,11.0,11.0,positive_or_neutral
DPF_Age_Interaction,0.05105681275793455,-0.0035526315789473238,0.007010207239459204,0.0,9.0,13.0,11.0,negative_or_unstable
High_Glucose,0.05213000830743676,-0.006299342105263122,0.013867102001462848,0.0,8.0,14.0,11.0,negative_or_unstable
Insulin,0.017886955600573514,0.0009539473684210875,0.002787137489936884,1.7099,14.0,10.0,12.0,positive_or_neutral
Very_High_Glucose,0.020867800291276516,-0.0007072368421052356,0.0043976646310358355,0.0,13.0,12.0,12.5,negative_or_unstable
