feature,mean_abs_shap,mean_shap,impact_percent
Glucose_BMI,0.04937781855473999,0.0017016345645707012,14.277
Glucose_Age,0.047928524294361084,0.002620628238902883,13.8579
High_Glucose,0.04711720533056724,0.004661597145932398,13.6234
Glucose,0.03493810320704779,0.007396350130382699,10.1019
BMI_Age,0.026695899986182003,-0.004034887382217839,7.7188
Obese,0.024288030505610316,-0.0022113836636713253,7.0226
DPF_Age_Interaction,0.02226457841080852,-0.0035115800083523486,6.4375
Metabolic_Load,0.02196906800665753,0.002818660149544119,6.3521
Age,0.020401480736764115,-0.00083209308098469,5.8988
Glucose_Insulin_Product,0.017663750067576773,0.00215218156935672,5.1073
BMI,0.013870315185992809,-0.003993571921954406,4.0104
Insulin,0.008355377919605562,0.000609277482028843,2.4159
SkinThickness,0.006150714699298238,0.000688532999480662,1.7784
Very_High_Glucose,0.004835233984619346,0.0013715821124097806,1.398
