feature,mutual_information
perimeter_worst,0.4718422912925253
area_worst,0.46431328562695495
radius_worst,0.45123003298461906
concave_points_mean,0.43880644648738687
concave_points_worst,0.43625481544152267
perimeter_mean,0.402360812274962
concavity_mean,0.37544686818672335
radius_mean,0.3622757661688467
area_mean,0.36002335033029853
area_se,0.3407590537454477
concavity_worst,0.31525939464830843
perimeter_se,0.27561421470596326
radius_se,0.2493009020957937
compactness_worst,0.22521114898885575
compactness_mean,0.21343943327826498
concave_points_se,0.12541455216937503
texture_worst,0.1203313174526599
concavity_se,0.1174397233166351
texture_mean,0.0965395363947501
smoothness_worst,0.09569707667900906
symmetry_worst,0.09543477212279394
smoothness_mean,0.07973979138087928
compactness_se,0.07339016115015573
symmetry_mean,0.06572068870620695
fractal_dimension_worst,0.06504130480502468
fractal_dimension_se,0.03923533808367097
smoothness_se,0.015651324551999357
symmetry_se,0.0142157926946751
fractal_dimension_mean,0.0058880080234731125
texture_se,0.0
