feature,skewness,absolute_skewness
area_se,5.447186284898394,5.447186284898394
concavity_se,5.110463049043661,5.110463049043661
fractal_dimension_se,3.923968620227413,3.923968620227413
perimeter_se,3.443615202194899,3.443615202194899
radius_se,3.0886121663847574,3.0886121663847574
smoothness_se,2.314450056636759,2.314450056636759
symmetry_se,2.1951328995478216,2.1951328995478216
compactness_se,1.9022207096378565,1.9022207096378565
area_worst,1.8593732724433467,1.8593732724433467
fractal_dimension_worst,1.6625792663955146,1.6625792663955146
texture_se,1.646443808753053,1.646443808753053
area_mean,1.6457321756240424,1.6457321756240424
compactness_worst,1.4735549003297956,1.4735549003297956
concave_points_se,1.4446781446974786,1.4446781446974786
symmetry_worst,1.433927765189328,1.433927765189328
concavity_mean,1.4011797389486722,1.4011797389486722
fractal_dimension_mean,1.3044888125755076,1.3044888125755076
compactness_mean,1.1901230311980404,1.1901230311980404
concave_points_mean,1.1711800812336282,1.1711800812336282
concavity_worst,1.1502368219460262,1.1502368219460262
perimeter_worst,1.1281638713683722,1.1281638713683722
radius_worst,1.1031152059604372,1.1031152059604372
perimeter_mean,0.9906504253930081,0.9906504253930081
radius_mean,0.9423795716730992,0.9423795716730992
symmetry_mean,0.7256089733641999,0.7256089733641999
texture_mean,0.6504495420828159,0.6504495420828159
texture_worst,0.49832130948716474,0.49832130948716474
concave_points_worst,0.49261552688550875,0.49261552688550875
smoothness_mean,0.45632376481955844,0.45632376481955844
smoothness_worst,0.4154259962824678,0.4154259962824678
